#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
286A,1,4/14/2024 14:00,0,3pi/10,4-Jan,-0.46875,-0.333333333,sqrt2/12,17-Dec,7,,14,1,0,0,0,0,0,0,0,,0,0:09:35,0:22:26,0:49:13,0:49:29,0:49:26,0:32:37,0:49:52,0:49:45,,0:49:41
134A,0,4/14/2024 13:04,sqrtpi/2,(3pi)/10,4,,,,1,,,,0,0,0,,,,0,,,,0:27:11,0:49:46,0:22:29,,,,0:49:57,,0:42:11,
121B,0,4/14/2024 13:57,1,1,1,1,1,1,1,36/25,1,1,0,0,0,0,0,0,0,0,0,0,0:26:31,0:29:23,0:29:28,0:29:30,0:29:32,0:29:35,0:29:41,0:29:20,0:29:46,0:30:24
054B,1,4/14/2024 14:00,0,pi/6,1,(-4sqrt(26)+4sqrt(2))/(sqrt(13)-2),0,2-Jan,sqrt(2),2-Jul,4-Jan,7,1,0,0,0,0,0,0,0,0,0,0:00:16,0:01:59,0:24:43,0:42:12,0:42:24,0:42:30,0:42:52,0:44:19,0:44:22,0:44:25
326A,1,4/14/2024 14:00,0,,0,,,,,2,,2-Jan,1,,0,,,,,0,,0,0:47:58,0:39:05,0:49:57,,0:39:57,0:39:58,0:15:06,0:49:45,0:49:55,0:49:47
318B,4,4/14/2024 14:10,0,(3pi)/10,2-Jul,(13+sqrt13)/13,,4-Jan,50,-2,4-Mar,13/2,1,0,1,1,,0,0,0,0,1,0:02:49,0:32:55,0:47:44,0:38:02,,0:45:37,0:46:35,0:36:31,0:48:03,0:47:37
316A,2,4/14/2024 13:04,0,(13pi)/10,2,1+sqrt13/13,2,11-Feb,4,,2024,6,1,0,0,1,0,0,0,,0,0,0:02:22,0:18:15,0:18:15,0:34:40,0:42:34,0:49:28,0:49:17,0:49:31,0:49:34,0:49:46
074A,4,4/14/2024 14:00,0,3/10pi,3.5,sqrt2/2,0,4-Jan,pi,16,(ln3)^2,2-Jan,1,0,1,0,0,0,0,1,1,0,0:04:06,0:33:36,0:21:59,0:19:02,0:46:16,0:48:06,0:49:42,0:32:30,0:26:40,0:41:10
074B,4,4/14/2024 14:00,0,(3pi)/10,3.5,4-Mar,(1+sqrt5)/2,11-Mar,(7pi)/11,16,(ln3)^2,,1,0,1,0,0,0,0,1,1,,0:01:42,0:33:49,0:22:57,0:49:16,0:48:33,0:47:56,0:49:56,0:33:37,0:27:00,
200A,2,4/14/2024 14:00,0,3π/10,4,2+sqrt13/13,π^2/4,12-May,-8sqrt2/99979985,25e/4,5,5,1,0,0,0,1,0,0,0,0,0,0:00:49,0:03:49,0:13:26,0:13:33,0:21:06,0:37:35,0:47:03,0:49:29,0:49:39,0:49:40
209A,2,4/14/2024 13:04,0,3/10pi,4,sqrt7/7,2pi+1,Jan-32,2-Jan,16,8-Jan,2027,1,0,0,0,0,0,0,1,0,0,0:05:36,0:08:06,0:05:35,0:43:54,0:45:33,0:43:57,0:49:57,0:47:21,0:47:23,0:49:31
099A,1,4/14/2024 13:57,0,(4pi)/15,0,2-sqrt2,376,87,(37pi)/38,378/347,Nov-14,,1,0,0,0,0,0,0,0,0,,0:11:54,0:21:15,0:22:31,0:44:44,0:54:06,0:53:55,0:53:08,0:52:53,0:52:48,0:52:36
013B,1,4/14/2024 14:00,0,0.3pi,0,sqrt6,pi,0,0,125/64,3-Apr,0,1,0,0,0,0,0,0,0,0,0,0:10:29,0:11:46,0:44:58,0:49:45,0:49:39,0:45:22,0:33:46,0:48:12,0:39:05,0:48:34
118A,1,4/14/2024 14:01,0,(3pi)/10,infty,2,(3pi)/4,3-Feb,pl easeihaveafamilyathome,50/32,1,5+log(8),1,0,0,0,0,0,0,0,0,0,0:35:40,0:06:48,0:22:59,0:27:45,0:36:05,0:35:09,0:45:03,0:49:16,0:47:13,0:34:00
029A,2,4/14/2024 14:01,0,1.8pi,1,-2,,,,26/25,4-May,2.866,1,1,0,0,,,,0,0,0,0:08:04,0:08:08,0:25:18,0:25:19,0:25:20,,,0:49:56,0:49:50,0:49:49
203A,2,4/14/2024 13:04,0,5pi/3,2,2sqrt7/7,pi^2/4,,0,1,,4,1,0,0,0,1,,0,0,,0,0:04:29,0:14:38,0:49:51,0:27:39,0:49:33,0:34:38,0:45:24,0:29:28,0:49:10,0:47:43
307B,3,4/14/2024 13:58,0,(3pi)/10,4,4,1,16-Mar,sqrt2/10001,16,ln^2(3)/4,13/2,1,0,0,0,0,0,0,1,0,1,0:00:56,0:13:58,0:17:11,0:56:43,0:55:53,0:57:28,0:29:54,0:21:31,0:37:23,0:52:06
225A,1,4/14/2024 13:04,0,pi/30,,,,,,,,,1,0,,,,,,,,,0:23:03,0:35:00,0:35:06,,,,,,,
136B,1,4/14/2024 14:01,0,pi/6,0,4sqrt2,,,cos((19998+pi)/4),343/580pi,,,1,0,0,0,,,0,0,,,0:01:37,0:27:09,0:12:55,0:13:58,,,0:23:05,0:34:00,,
190A,2,4/14/2024 14:02,0,1/3pi,4e^3,1,pi^2/4,4-Jan,1,81/64,4-May,2024,1,0,0,0,1,0,0,0,0,0,0:11:21,0:05:21,0:14:49,0:17:45,0:21:33,0:22:39,0:23:09,0:34:19,0:34:21,0:34:42
034A,2,4/14/2024 14:00,0,(3pi)/5,2-Jul,1+1/sqrt13,pi/2,2sqrt2,3pi/4,2,0,0,1,0,1,0,0,0,0,0,0,0,0:06:46,0:42:13,0:45:35,0:47:31,0:49:26,0:49:36,0:49:43,0:29:55,0:48:45,0:49:02
201A,0,4/14/2024 14:00,e^x,pi/9,t^2,2,pi,100%,,125/24,1,0,0,0,0,0,0,0,,0,0,0,0:43:04,0:39:39,0:09:50,0:03:09,0:15:05,0:45:50,,0:22:45,0:22:55,0:16:54
161A,0,4/14/2024 13:58,2-Jan,4/3pi,0,,0,,,36/25,7,4,0,0,0,,0,,,0,0,0,0:31:32,0:52:35,0:53:18,0:55:03,0:58:14,0:31:32,0:56:31,0:49:45,0:56:35,0:57:42
216A,1,4/14/2024 14:00,0,3pi/10,,,,,,,,,1,0,,,,,,,,,0:29:24,0:37:40,,,,,,,,
103A,0,4/14/2024 13:04,1,3/10pi,0,sqrt(13)/13,,,,,,,0,0,0,0,,,,,,,0:45:20,0:10:52,0:28:30,0:29:39,,,,,,
190B,1,4/14/2024 14:03,0,(3pi)/10,4,4,(pi^2+8)/4,2-Jan,-0.25,6,ln(3/4),2024,1,0,0,0,0,0,0,0,0,0,0:02:02,0:06:34,0:20:55,0:27:00,0:30:21,0:41:25,0:43:40,0:46:34,0:48:06,0:49:37
194A,2,4/14/2024 14:00,0,3pi/10,,1,,,2-Jan,16,,,1,0,,0,,,0,1,,,0:02:39,0:48:21,,0:45:49,,,0:47:09,0:29:46,,
161B,1,4/14/2024 14:00,0,,,,,,,,,,1,,,,,,,,,,0:01:07,,,,,,,,,
055A,4,4/14/2024 13:57,0,3pi/10,4,,0,,-2sqrt2/99979997,13,log^2(3),13/2,1,0,0,,0,,1,0,1,1,0:12:47,0:20:36,0:15:43,0:58:52,0:59:18,0:59:29,0:40:13,0:16:28,0:40:29,0:44:39
305B,1,4/14/2024 13:04,2-Jan,3/10pi,,(sqrt(13)+13)/13,64,4-Jan,12,6,16,43,0,0,,1,0,0,0,0,0,0,0:15:21,0:04:55,0:48:38,0:23:57,0:49:57,0:49:35,0:49:54,0:49:45,0:49:48,0:49:50
006E,1,4/14/2024 14:00,2,7/3pi,3,4,10-Mar,3-Jan,sqrt2/2,16,25-Apr,240,0,0,0,0,0,0,0,1,0,0,0:43:21,0:49:55,0:35:03,0:33:09,0:39:09,0:35:58,0:38:42,0:38:43,0:38:48,0:38:57
205B,2,4/14/2024 13:04,0,3/10 pi,,1+sqrt13/13,,,,,,,1,0,,1,,,,,,,0:47:03,0:15:25,0:39:18,0:39:35,0:39:59,,,,,
115A,3,4/14/2024 13:04,0,9/5pi,1,sqrt2,0,3-Feb,-(2sqrt2)/997997,16,2-Jan,7,1,1,0,0,0,0,0,1,0,0,0:03:38,0:48:47,0:17:22,0:47:43,0:45:30,0:49:52,0:27:44,0:33:55,0:45:53,0:42:37
256B,1,4/14/2024 14:02,0,(9pi)/70,4,2-Jan,,,,,,,1,0,0,0,,,,,,,0:15:22,0:07:59,0:12:35,0:46:32,,,,,,
148C,2,4/14/2024 13:04,0,3/10pi,17,1+sqrt(13)/13,17,2-Jan,2-Jan,17,17,17,1,0,0,1,0,0,0,0,0,0,0:17:09,0:07:52,0:47:04,0:34:26,0:47:05,0:47:14,0:47:00,0:48:56,0:47:17,0:47:18
215A,1,4/14/2024 14:01,0,9/70*pi,8,,87,12-May,677,8,567879,57,1,0,0,,0,0,0,0,0,0,0:11:34,0:40:38,0:49:32,,0:49:38,0:40:57,0:49:42,0:26:46,0:49:46,0:49:56
277A,0,4/14/2024 14:00,2,3-Jan,0,-1,0,,,,,,0,0,0,0,0,,,,,,0:03:05,0:08:37,0:49:51,0:49:56,0:49:59,,,,,
289B,1,4/14/2024 13:05,0,(3pi)/10,1,5-Jun,,,,,,,1,0,0,0,,,,,,,0:06:39,0:13:19,0:16:27,0:36:53,,0:45:56,,,,
208A,0,4/14/2024 14:01,2,3/10 pi,2,2-Mar,2,sqrt(2)/4,sqrt(2)/2,3-Feb,2,2,0,0,0,0,0,0,0,0,0,0,0:09:28,0:30:23,0:12:59,0:18:46,0:09:24,0:46:01,0:36:48,0:43:21,0:09:13,0:09:11
277B,2,4/14/2024 14:00,0,9/7pi,4,,pi^2/4,,,,,,1,0,0,,1,,,,,,0:06:06,0:19:10,0:15:32,,0:49:31,,,,,
204B,0,4/14/2024 13:04,oo,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0:05:00,0:41:14,0:41:15,0:41:18,0:41:19,0:41:22,0:41:23,0:41:26,0:41:28,0:41:31
212D,2,4/14/2024 14:01,0,(3pi)/10,3.5,3-Jan,pi^2/2,,0,1,arctan(1/4)/3,,1,0,1,0,0,,0,0,0,,0:02:50,0:05:49,0:15:05,0:10:28,0:46:30,,0:24:45,0:39:30,0:49:53,
273B,2,4/14/2024 13:10,0,9/5*pi,2-Jan,(2sqrt3)/3,,,,,1,,1,1,0,0,,,,,0,,0:02:53,0:18:48,0:23:28,0:40:53,0:44:54,,,,0:48:18,
001A,1,4/14/2024 14:00,0,(3\pi)/(10),4,sqrt13)/(13),0,5-Mar,\pi/4,36/25,16/9,34,1,0,0,0,0,0,0,0,0,0,0:00:52,0:23:15,0:13:06,0:31:56,0:49:49,0:49:41,0:49:53,0:49:34,0:49:28,0:48:51
151B,2,4/14/2024 14:00,0,3/10pi,4,1+1/sqrt(13),pi^2/4,3-Jan,,95/16,,,1,0,0,0,1,0,,0,,,0:02:28,0:07:17,0:15:12,0:25:45,0:48:51,0:38:44,,0:43:59,,
283A,0,4/14/2024 14:00,71,0.4039,1,5,7,6,5000.207,3,9,8,0,0,0,0,0,0,0,0,0,0,0:04:30,0:07:29,0:10:31,0:49:44,0:17:37,0:18:14,0:19:44,0:49:11,0:49:07,0:49:06
091B,1,4/14/2024 13:59,0,(\frac{4}{5} \pi),∞,0,lim_{{n \to \infty}} I_n = \frac{\pi}{2},14,194,25/8,12,32938,1,0,0,0,0,0,0,0,0,0,0:13:13,0:14:23,0:17:48,0:18:56,0:20:45,0:23:26,0:24:16,0:30:04,0:30:04,0:36:25
095A,0,4/14/2024 14:00,1,(3pi)/10,4,sqrt2/2,,,,,,,0,0,0,0,,,,,,,0:02:19,0:41:52,0:09:05,0:46:39,,0:22:37,,0:26:53,,
025A,2,4/14/2024 14:00,0,(9pi)/70,2-Jul,5-Jun,2,(2sqrt(2)-1)/4,pi,95/16,12,24,1,0,1,0,0,0,0,0,0,0,0:03:01,0:06:03,0:21:00,0:31:40,0:49:01,0:48:37,0:49:26,0:12:42,0:48:50,0:48:54
331B,4,4/14/2024 14:00,0,3pi/10,1,(13 + sqrt(13))/13,pi,3-Jan,0,16,18-Jan,6.5,1,0,0,1,0,0,0,1,0,1,0:05:16,0:29:41,0:24:27,0:39:18,0:49:06,0:47:40,0:48:56,0:31:00,0:49:01,0:49:03
145A,0,4/14/2024 14:00,1,,,,,,,,,,0,,,,,,,,,,0:02:55,0:45:33,,,,,,,,
057B,1,4/14/2024 14:12,2-Jan,(8/5)π,8,2,π^2/2,3-Jan,0,π/4,1.2,6.5,0,0,0,0,0,0,0,0,0,1,0:42:12,0:06:20,0:06:28,0:41:32,0:09:59,0:15:27,0:20:42,0:08:26,0:20:41,0:09:30
347B,2,4/14/2024 13:04,0,9/5 pi,4,(13+17sqrt13)/13,1+pi,16-May,0,36/25,3-Apr,2027,1,1,0,0,0,0,0,0,0,0,0:05:08,0:17:19,0:33:20,0:28:26,0:45:43,0:45:39,0:49:31,0:49:50,0:47:31,0:44:41
044B,1,4/14/2024 14:00,0,(7pi)/30,4e,sqrt10,,6-Jan,,,,,1,0,0,0,,0,,,,,0:00:59,0:11:52,0:04:41,0:32:53,,0:42:03,0:42:05,0:48:25,0:48:23,
110B,1,4/14/2024 13:58,0,(3pi)/10,1,4,(10pi)/3,2ln(pi),(9999pi)/4,100,10e^5,,1,0,0,0,0,0,0,0,0,,0:17:54,0:24:06,0:24:07,0:58:41,0:58:57,0:59:19,0:58:26,0:54:18,0:59:27,0:55:46
134C,0,4/14/2024 14:02,1,pi/2,0,2,,,2pi,,,,0,0,0,0,,,0,,,,0:16:23,0:16:39,0:17:05,0:17:26,0:41:58,,0:45:01,,,
063B,1,4/14/2024 14:00,0,2pi,0,root2(2),1,2,pi/2,95/16,2,3,1,0,0,0,0,0,0,0,0,0,0:04:34,0:07:02,0:06:29,0:43:22,0:06:42,0:11:46,0:10:02,0:10:39,0:15:59,0:19:39
177B,1,4/14/2024 14:00,0,{3pi}/2,,"1+{3sqrt(7)}/7 {units""}/{""second""}""",,24-Jan,,,,,1,0,,0,,0,,,,,0:10:39,0:15:02,0:21:36,0:37:15,0:44:33,0:45:58,,,,
082B,2,4/14/2024 14:00,0,3pi/10,3.5,2.5,,,,,,,1,0,1,0,,,,,,,0:16:35,0:11:12,0:43:24,0:43:26,,,,,,
179B,3,4/14/2024 13:04,0,(4pi)/5,,2,(pi^2)/4,8-Jan,7-May,25/4,4 /3 ​  ln(  3/ 4 ​  )−  2/3,6.5,1,0,,0,1,0,0,0,0,1,0:27:44,0:14:57,0:49:31,0:48:31,0:49:58,0:39:13,0:45:21,0:31:59,0:36:53,0:46:43
077C,1,4/14/2024 14:01,0,,,,,,,,9,1,1,,,,,,,,0,0,0:03:34,0:04:05,0:05:04,,0:28:18,,,,0:49:28,0:49:23
284A,1,4/14/2024 14:00,0,pi,4,(364+sqrt91)/364,,24-Jan,,,,,1,0,0,0,,0,,,,,0:00:22,0:03:34,0:01:41,0:10:21,,0:21:33,,,,
039B,1,4/14/2024 14:00,0,,,,,,,,,,1,,,,,,,,,,0:03:14,0:40:57,,0:49:28,,,,,,
208B,1,4/14/2024 14:00,0,(3pi)/10,DNE,sqrt(32/7),0,,2-Jan,,3,,1,0,0,0,0,,0,,0,,0:01:15,0:12:42,0:17:54,0:48:17,0:43:19,,0:49:49,,0:49:57,
242A,1,4/14/2024 14:03,0,,,-3,,,,17,,,1,,,0,,,,0,,,0:09:28,,,0:48:17,,,,0:48:56,,
210C,3,4/14/2024 14:01,0,pi,4,7-Jun,pi^2/4,12-Jan,4/99979997,36,,,1,0,0,0,1,1,0,0,,,0:01:05,0:02:50,0:27:44,0:30:35,0:18:37,0:15:29,0:44:14,0:49:59,,
112A,0,4/14/2024 13:59,infinity,,,-24,,,,,,,0,,,0,,,,,,,0:43:47,,,0:31:24,,,,,,
095B,1,4/14/2024 14:00,0,pi/6,0,sqrt10,3-sin(1),2-Jan,0,144/25,arctan(1/4)+1,,1,0,0,0,0,0,0,0,0,,0:23:27,0:17:59,0:27:24,0:27:23,0:37:29,0:34:22,0:33:34,0:42:06,0:47:11,0:47:13
161D,0,4/14/2024 14:00,1,3-Jan,4,1,,,,,,,0,0,0,0,,,,,,,0:09:15,0:33:21,0:46:33,0:46:36,,,,,,
184B,1,4/14/2024 14:00,0,0.8pi,,-4,,,-0.201518366,(5e^16-7),1.206949,2024^2+3,1,0,,0,,,0,0,0,0,0:01:25,0:42:30,0:43:06,0:46:29,,,0:37:31,0:49:56,0:28:04,0:30:33
065B,1,4/14/2024 13:57,0,2.513,0,-2,0,0.05,-0.11847014,1.6875,1.206,0,1,0,0,0,0,0,0,0,0,0,0:12:05,0:35:39,0:49:47,0:42:33,0:43:09,0:36:00,0:22:36,0:50:50,0:35:21,0:50:56
091D,2,4/14/2024 13:05,0,(11pi)/5,4,1+sqrt(13)/(13),,6-Jan,1,,,,1,0,0,1,,0,0,,,,0:02:22,0:10:43,0:26:03,0:49:42,,0:27:29,0:49:45,,,
059B,0,4/14/2024 14:00,DNE,pi/2-pi/5,DNE,-4,,,,,,,0,0,0,0,,,,,,,0:03:23,0:43:22,0:48:58,0:31:37,,,,,,
295B,0,4/14/2024 14:00,∞,Nov-60,4,-1,,,,,,,0,0,0,0,,,,,,,0:04:14,0:42:15,0:30:26,0:49:02,,0:31:36,0:38:01,,,
261A,2,4/14/2024 14:00,0,pi/2,0,root 2 5,4+pi^2 /2,3-Jan,-0.1,16,21/64,-2024e^-2024+e^-2024,1,0,0,0,0,0,0,1,0,0,0:01:24,0:03:21,0:02:19,0:07:01,0:11:14,0:27:35,0:21:22,0:37:20,0:21:31,0:37:21
183B,0,4/14/2024 13:06,,2/3\pi,,,,,,,,,,0,,,,,,,,,0:19:19,0:18:54,,,,,,,,
099B,4,4/14/2024 14:00,0,\frac{4\pi}{15},2-Jul,\frac{\sqrt{13}}{13},pi/2,2,2,16,\frac{13}{2},13/2,1,0,1,0,0,0,0,1,0,1,0:00:07,0:14:29,0:09:41,0:19:25,0:30:50,0:49:59,0:49:58,0:35:26,0:49:57,0:44:13
018B,0,4/14/2024 13:58,e^2,{9pi}/70,4,2sqrt(2),2,2-Jan,999,95/16,16,1022,0,0,0,0,0,0,0,0,0,0,0:53:17,0:15:46,0:27:20,0:53:40,0:36:34,0:56:27,0:54:43,0:55:26,0:59:50,0:59:29
205C,2,4/14/2024 14:00,0,1,1,1+7sqrt7,0,3-Jan,0,16,1,2022,1,0,0,0,0,0,0,1,0,0,0:07:54,0:23:07,0:49:43,0:34:07,0:47:49,0:47:32,0:45:38,0:43:52,0:47:24,0:47:12
099C,3,4/14/2024 14:00,0,(4pi)/15,2-Jul,2+root(2)(2),pi/2,10-Mar,(10002root(2)(2)-20004)/100030001,4,0,13/2,1,0,1,0,0,0,0,0,0,1,0:00:12,0:14:15,0:28:13,0:34:35,0:40:25,0:40:49,0:26:30,0:43:45,0:39:53,0:49:55
247C,1,4/14/2024 13:04,0,3pi/10,4,,,sqrt(2)/3,,,,,1,0,0,,,0,,,,,0:41:08,0:09:27,0:19:38,,,0:47:24,,,,
145B,0,4/14/2024 14:00,e,,,,,,,,,,0,,,,,,,,,,0:02:33,,,,,,,,,
087A,1,4/14/2024 14:00,0,0.3pi,#NAME?,3,3/4pi,8-Jan,cos((9999arccos(x))/2+pi/4),100e^(7/3),∞,0,1,0,0,0,0,0,0,0,0,0,0:03:39,0:32:59,0:06:25,0:13:40,0:49:23,0:48:22,0:12:17,0:31:27,0:47:45,0:48:41
184C,1,4/14/2024 14:00,0,π,0,1.5,,,,,,,1,0,0,0,,,,,,,0:06:20,0:07:34,0:09:18,0:10:02,0:10:07,0:10:30,,,,
022B,0,4/14/2024 14:00,,,,,,,,,,,,,,,,,,,,,0:15:12,,,,0:15:09,,,,,
065C,1,4/14/2024 13:57,0,2.513,0,-2,0,0.05,-0.118,1.6875,1.206,0,1,0,0,0,0,0,0,0,0,0,0:12:19,0:34:22,0:00:33,0:42:22,0:43:51,0:20:17,0:44:42,0:48:51,0:36:13,0:51:12
205D,2,4/14/2024 14:00,0,3/10pi,69,1+7sqrt7,69,69,69,16,69,69,1,0,0,0,0,0,0,1,0,0,0:08:18,0:26:19,0:48:22,0:39:25,0:48:24,0:48:25,0:48:28,0:49:33,0:48:30,0:49:52
114D,0,4/14/2024 14:00,1,,6-Jan,1.2,,,,95/16,,,0,,0,0,,,,0,,,0:03:47,0:31:25,0:10:24,0:36:54,,,,0:22:55,,
125C,1,4/14/2024 14:00,0,(9pi)/70,3,2+sqrt{13}/13,pi,4-Jan,4999,e^{5/4},14/9,,1,0,0,0,0,0,0,0,0,,0:01:07,0:05:16,0:08:47,0:45:49,0:46:25,0:45:45,0:46:45,0:47:02,0:47:48,
296C,0,4/14/2024 14:00,1,(4pi)/5,oo,2,0,25%,pi,85/16,8-Jan,72,0,0,0,0,0,0,0,0,0,0,0:03:56,0:22:47,0:28:26,0:34:49,0:46:13,0:49:44,0:49:39,0:49:21,0:29:16,0:49:35
261B,2,4/14/2024 14:00,0,pi/2,0,root 2 5 ,4 + pi^2/2,3-Jan,-0.1,16,21/64,-2024e^-2024+e^-2024,1,0,0,0,0,0,0,1,0,0,0:01:35,0:00:53,0:07:05,0:04:32,0:08:37,0:15:21,0:07:56,0:31:22,0:20:20,0:39:30
111C,0,4/14/2024 14:20,,2pi - 1/3,,2/sqrt(13),,,,,,,,0,,0,,,,,,,,0:08:46,,0:13:58,,,,,,
194B,3,4/14/2024 13:58,0,4/5pi,6-Jan,-1.333333333,0,4-Jan,infinity(divergent),16,arctan(25)/3,6.5,1,0,0,0,0,0,0,1,0,1,0:00:26,0:50:41,0:58:09,0:18:15,0:19:53,0:58:45,0:52:38,0:32:59,0:41:03,0:47:46
174C,3,4/14/2024 14:00,0,9pi/5,,sqrt(13)/13,,sqrtc/4-1/6,,16,,,1,1,,0,,0,,1,,,0:01:54,0:17:32,0:08:39,0:30:30,,0:49:40,,0:23:16,,
305C,3,4/14/2024 14:01,0,3*pi/10,3.5,(13+sqrt(13))/13,0,2-Jan,9,9,9,9,1,0,1,1,0,0,0,0,0,0,0:01:34,0:06:07,0:11:14,0:23:42,0:49:11,0:48:04,0:35:16,0:43:01,0:43:01,0:35:07
204C,0,4/14/2024 13:07,1,36,1,5-Mar,4,3-Feb,1,7,1,128,0,0,0,0,0,0,0,0,0,0,0:23:01,0:45:41,0:45:47,0:23:00,0:45:56,0:21:22,0:45:58,0:46:02,0:46:03,0:49:28
004B,1,4/14/2024 13:58,0,,,,,,,,,,1,,,,,,,,,,0:13:31,,,0:33:12,,,,0:33:13,,
065D,1,4/14/2024 13:57,0,2.513,0,-2,,,-0.118,1.6875,1.206,7.88,1,0,0,0,,,0,0,0,0,0:29:36,0:49:40,0:49:47,0:50:12,,,0:50:32,0:50:53,0:51:07,0:57:37
008C,1,4/14/2024 14:00,0,3/10 pi,0,2,0,2-Jan,2-Jan,,1,1+sqrte,1,0,0,0,0,0,0,,0,0,0:00:39,0:05:27,0:48:05,0:37:30,0:49:22,0:49:27,0:45:08,,0:44:50,0:44:39
252A,1,4/14/2024 13:04,0,(4pi)/5,,#NAME?,,,,,,,1,0,,0,,,,,,,0:01:56,0:06:21,,0:09:02,0:09:04,,0:39:59,0:41:55,,
119A,1,4/14/2024 13:04,0,pi/2,\e,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0:01:48,0:49:36,0:40:08,0:35:14,0:35:16,0:35:17,0:35:18,0:35:19,0:35:21,0:35:26
119B,2,4/14/2024 13:04,0,3pi/10 ,4,1/sqrt(13)+1,pi^2/4,,,,,,1,0,0,0,1,,,,,,0:16:03,0:07:28,0:07:35,0:16:09,0:42:10,0:38:26,,,,
