#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
321A,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,2-Jan,,25/98,,,,1,1,1,1,0,,1,,,,0:03:13,0:06:50,0:15:21,0:46:19,0:48:40,0:23:50,0:33:29,0:40:04,,
134A,0,4/14/2024 14:01,13,pi,sqrt((23-8sqrt3)/16),,,,,,,,0,0,0,,,,,,,,0:49:36,0:46:04,0:48:01,,,,,,,
243D,0,4/14/2024 14:00,40,2,,,,,,,,,0,0,,,,,,,,,0:37:15,0:09:53,,,,,,,,
227A,3,4/14/2024 14:00,48,6-2sqrt3,sqrt7/14,4sqrt3,6-May,8sqrt(61)/5,7-Feb,24,5,120,0,1,1,1,0,0,0,0,0,0,0:03:05,0:06:22,0:11:04,0:24:17,0:38:00,0:45:27,0:46:58,0:45:37,0:45:40,0:45:43
113A,3,4/14/2024 14:00,47,6-2sqrt3,7-Jan,5sqrt3,14-Nov,,,,,,1,1,0,0,1,,,,,,0:05:03,0:10:51,0:13:08,0:40:14,0:30:33,0:31:59,,,,
336B,1,4/14/2024 14:00,47,2sqrt(3),sqrt(1/112),9,,17,,4/3pi,,25/32,1,0,0,0,,0,,0,,0,0:11:40,0:19:25,0:38:23,0:47:59,0:48:01,0:49:52,,0:49:00,,0:48:31
336C,2,4/14/2024 14:00,47,6-2sqrt(3),8-Mar,sqrt(183),1,sqrt(34),4-Jan,int_-1.5^1.5 ((sqrt(9-x^2))/3 - sqrt(3)/2) d x,16,1,1,1,0,0,0,0,0,0,0,0,0:02:42,0:04:49,0:09:42,0:15:06,0:46:25,0:21:48,0:47:51,0:44:32,0:49:31,0:18:21
316A,1,4/14/2024 14:00,47,2sqrt3,sqrt6/12,,2-Jan,g(g(g(64))),Dec-37,6-Jan,rayo(10^100),1+sqrt3/6,1,0,0,,0,0,0,0,0,0,0:02:46,0:10:24,0:10:27,0:35:00,0:41:46,0:49:51,0:35:03,0:49:40,0:49:30,0:49:09
057A,4,4/14/2024 14:00,51,6-2\sqrt3,\sqrt7/14,5\sqrt3,14-Nov,2\sqrt34,,,,,0,1,1,0,1,1,,,,,0:02:46,0:08:15,0:16:47,0:32:37,0:32:44,0:43:07,,,,
024A,0,4/14/2024 14:00,sqrt2162,2.4,sqrt7/2,3sqrt5,4-Sep,,7/(16sqrt2),(3pisqrt7)/14,17,85/91,0,0,0,0,0,,0,0,0,0,0:17:26,0:15:26,0:19:59,0:44:08,0:49:48,,0:49:00,0:32:45,0:45:02,0:49:05
212A,0,4/14/2024 14:00,,,,,,,,,,,,,,,,,,,,,0:37:50,0:25:00,0:05:08,,,,0:13:53,0:13:54,0:28:16,
075C,6,4/14/2024 14:00,47,6-2sqrt3,sqrt3/6,4sqrt3,14-Nov,2sqrt34,25/98,(5pi)/3 - (7sqrt3)/4,16,sqrt6/2,1,1,0,1,1,1,1,0,0,0,0:01:19,0:02:44,0:04:10,0:07:56,0:13:57,0:38:37,0:23:12,0:46:48,0:47:03,0:49:04
197B,3,4/14/2024 14:01,47,6-2sqrt(3),1/2sqrt(5/2-sqrt(21)/2),4sqrt(3),17/11,sqrt(73)+sqrt(34),3-Jan,,,,1,1,0,1,0,0,0,,,,0:03:47,0:08:52,0:19:26,0:27:07,0:38:58,0:46:01,0:48:55,0:48:51,,
272B,7,4/14/2024 14:01,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,pi/3,22,31/32,1,1,1,1,1,1,1,0,0,0,0:02:03,0:06:33,0:11:36,0:21:32,0:25:36,0:32:05,0:38:45,0:49:21,0:49:32,0:49:55
039A,2,4/14/2024 14:00,47,(48-24sqrt3)pi,sqrt3,sqrt60,1:01,17,1:3sqrt3,(2pi-3sqrt3)/4,10,1:09,1,0,0,0,0,0,0,1,0,0,0:10:02,0:21:49,0:23:54,0:38:26,0:38:24,0:49:40,0:39:37,0:17:57,0:49:36,0:49:51
005B,0,4/14/2024 14:00,42,sqrt(3),sqrt(3)/4,1,2-Jan,2sqrt(3),7-Mar,5-Jan,2sqrt(3),4-May,0,0,0,0,0,0,0,0,0,0,0:18:44,0:09:45,0:25:10,0:31:33,0:43:02,0:44:15,0:45:32,0:45:50,0:48:08,0:48:13
092A,3,4/14/2024 14:02,47,6-2sqrt3,sqrt7/14,,14/11,,,,,3,1,1,1,,0,,,,,0,0:03:15,0:09:18,0:15:43,0:25:16,0:25:20,0:48:35,,,,0:48:41
266A,5,4/14/2024 14:00,47,6-2sqrt3,sqrt(7)/14,4sqrt3,14-Nov,,25/73,,,,1,1,1,1,1,,0,,,,0:02:50,0:08:52,0:12:44,0:18:30,0:24:34,0:25:11,0:45:20,,,
203A,2,4/14/2024 14:00,47,6-4sqrt3,sqrt28/28,4sqrt3,1,,98/73,3arcsin(2sqrt31/31),,,1,0,0,1,0,,0,0,,,0:05:22,0:44:13,0:34:57,0:19:57,0:47:13,0:47:54,0:45:23,0:45:55,,
152B,3,4/14/2024 14:00,47,6-(2\sqrt3)/3,\sqrt7/14,4sqrt3,5-Apr,,(7sqrt58)/(196+7\sqrt58),,,,1,0,1,1,0,,0,,,,0:02:25,0:03:59,0:14:31,0:25:25,0:28:18,0:39:23,0:49:15,0:39:23,,
066A,0,4/14/2024 14:01,12+sqrt(793),2sqrt(3),sqrt7/2-sqrt5/2,,,,,pi,,,0,0,0,,,,,0,,,0:07:03,0:13:59,0:47:54,0:47:59,0:45:10,0:48:54,,0:49:00,,
006B,5,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),12-Nov,12,25/98,(6pi-3sqrt(3)pi)/4,12,sqrt(6)/3,1,1,1,1,0,0,1,0,0,0,0:01:45,0:04:03,0:08:09,0:14:01,0:43:09,0:46:31,0:41:59,0:31:14,0:49:51,0:49:49
004A,0,4/14/2024 14:00,48,24,3.5,1,2-Jan,17,8-Jan,3pi,8pi,12-Jan,0,0,0,0,0,0,0,0,0,0,0:00:53,0:01:19,0:04:12,0:04:27,0:49:22,0:15:36,0:20:37,0:22:53,0:23:18,0:23:38
249B,2,4/14/2024 14:00,47,6-2sqrt 3,(3sqrt 10)/4,(11sqrt 2-sqrt 3)/4,,2sqrt24,25/28,,,2sqrt3/9,1,1,0,0,,0,0,,,0,0:01:44,0:06:16,0:25:58,0:21:35,0:47:19,0:35:11,0:35:37,,0:47:32,0:47:02
312B,0,4/14/2024 14:02,41,6sqrt2,1,8,9-Apr,17,2-Jan,13/14,12,21/23,0,0,0,0,0,0,0,0,0,0,0:33:52,0:34:22,0:38:40,0:41:18,0:47:48,0:42:17,0:47:43,0:45:16,0:45:10,0:42:34
174A,2,4/14/2024 14:04,47,2sqrt3,12-Jan,2sqrt61,14-Nov,,,,,,1,0,0,0,1,,,,,,0:05:31,0:09:40,0:49:55,0:30:08,0:42:17,,,,,
265A,2,4/14/2024 14:00,47,6-2sqrt3,sqrt7/7,,,,Aug-33,(5pi)/2+(3sqrt3)/4,,,1,1,0,,,,0,0,,,0:01:45,0:02:56,0:05:10,,,,0:23:58,0:36:03,,
236A,4,4/14/2024 14:00,47,6-2sqrt3,1/(2sqrt7),5sqrt3,14-Nov,2sqrt41,25/73,pi/2-(3sqrt3)/4,6sqrt3,,1,1,0,0,1,0,0,1,0,,0:01:28,0:03:11,0:06:40,0:11:40,0:23:50,0:27:50,0:34:30,0:47:50,0:49:05,
126A,1,4/14/2024 14:02,47,2sqrt2-3,sqrt7/2-sqrt3/2,sqrt3,,,10sqrt5/9-1/9,,,,1,0,0,0,,,0,,,,0:06:40,0:13:46,0:39:23,0:49:49,0:45:48,,0:30:57,0:39:07,0:31:02,0:49:36
336D,1,4/14/2024 14:00,47,58/125,sqrt(2-sqrt3),2sqrt15,7sqrt3/2,14,5-Jan,pi-(3sqrt3)/8,4sqrt5,63/64,1,0,0,0,0,0,0,0,0,0,0:36:54,0:12:26,0:48:34,0:49:27,0:49:08,0:48:59,0:48:54,0:26:43,0:48:51,0:32:37
174B,6,4/14/2024 14:00,37,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,3,14,3-Jan,0,1,1,1,1,1,1,0,0,0,0:05:28,0:12:53,0:25:02,0:36:26,0:47:08,0:25:06,0:47:04,0:49:22,0:49:29,0:49:40
022E,0,4/14/2024 14:01,,,,,2:03,,,,,,,,,,0,,,,,,,,,,0:21:54,,,,,
170A,1,4/14/2024 14:00,49,2,(4sqrt7)/7,4sqrt3,,120/7,197/587,2pi-(3sqrt3)/4,,1,0,0,0,1,,0,0,0,,0,0:08:41,0:45:15,0:15:42,0:21:42,,0:49:50,0:42:06,0:42:17,,0:49:40
167A,0,4/14/2024 14:00,95/3,-6+2sqrt3,sqrt2/14,4,4,4,1:02,4,4,4:03,0,0,0,0,0,0,0,0,0,0,0:33:44,0:23:36,0:49:33,0:49:46,0:49:48,0:49:50,0:48:26,0:49:50,0:49:52,0:49:57
140C,4,4/14/2024 14:06,47,6-2sqrt3,sqrt7/14,13,7-Jun,,25/98,,,,1,1,1,0,0,,1,,,,0:02:05,0:06:02,0:16:10,0:23:45,0:40:25,0:37:41,0:40:11,,,
297A,6,4/14/2024 14:03,59,6-2sqrt3,sqrt7/14,2sqrt3,14-Nov,2sqrt34,25/98,pi/2-(3sqrt3)/4,13,1,0,1,1,0,1,1,1,1,0,0,0:01:09,0:03:27,0:05:24,0:13:15,0:17:08,0:19:42,0:22:19,0:29:53,0:46:48,0:35:35
036B,4,4/14/2024 14:00,47,6-2sqrt(3),sqrt7/2-(3sqrt7)/7,,14-Nov,3sqrt29,25/98,(3pi)/2-[3sqrt(3)]/4,18,4,1,1,0,,1,0,1,0,0,0,0:03:55,0:14:06,0:40:32,0:49:02,0:49:37,0:43:31,0:48:04,0:41:26,0:49:56,0:49:59
006D,5,4/14/2024 14:00,47,6-2sqrt3,sqrt(7)/14,4sqrt3,13/14,2sqrt34,14-May,21,21,21,1,1,1,1,0,1,0,0,0,0,0:01:41,0:03:28,0:10:56,0:19:53,0:26:55,0:31:22,0:45:54,0:49:25,0:49:30,0:49:33
305B,4,4/14/2024 14:01,47,6-2sqrt3,(sqrt7-sqrt3)/4,(sqrt183-sqrt3)/3,14-Nov,,25/98,,,,1,1,0,0,1,,1,,,,0:04:02,0:06:28,0:11:03,0:18:35,0:24:24,0:39:07,0:46:52,,0:49:55,
154A,8,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,(2pi-3sqrt3)/4,17,17,1,1,1,1,1,1,1,1,0,0,0:01:05,0:04:21,0:08:33,0:13:36,0:18:56,0:23:32,0:39:54,0:39:59,0:41:32,0:41:30
205B,5,4/14/2024 14:01,47,6-2sqrt3,sqrt 7/14,7sqrt3/4,14-Nov,,25/98,,,3-Feb,1,1,1,0,1,,1,,,0,0:06:42,0:06:54,0:18:51,0:25:16,0:40:14,0:36:37,0:35:41,,,0:35:04
115A,5,4/14/2024 14:00,47,6-2sqrt(3),,4sqrt3,14-Nov,2sqrt34,,3+2pi,,2/3 sqrt(2/3(1+sqrt3)),1,1,,1,1,1,,0,,0,0:01:36,0:05:14,,0:19:16,0:24:27,0:32:51,,0:49:56,,0:44:26
077A,0,4/14/2024 14:01,37sqrt2,3sqrt2-6,sqrt3/3,15,1:01,20,1:02,3pi/5,5,4:01,0,0,0,0,0,0,0,0,0,0,0:08:55,0:48:38,0:49:02,0:47:01,0:37:21,0:30:07,0:37:00,0:49:34,0:49:57,0:48:09
296B,0,4/14/2024 14:00,,,,,,,,0.272,,1:01,,,,,,,,0,,0,0:03:00,0:10:24,,,,,0:40:58,0:36:47,0:41:15,0:10:28
091A,0,4/14/2024 14:00,48,6-Jan,1-root2(3)/2,,,,,-6-(6root2(3))/root2(56),,,0,0,0,,,,,0,,,0:49:58,0:27:51,0:34:39,0:42:55,,,0:23:18,0:48:46,0:48:55,
254A,3,4/14/2024 14:00,47,6 - 2sqrt(3),sqrt(7)/14,13,25,25,7-Mar,25,25,25,1,1,1,0,0,0,0,0,0,0,0:04:49,0:08:45,0:23:06,0:34:54,0:39:24,0:39:25,0:48:31,0:39:28,0:39:31,0:39:32
078D,3,4/14/2024 14:00,47,2sqrt3,sqrt7/14,4sqrt3,7-Jan,2sqrt41,25/49,pi-\frac{27sqrt3}{16},13sqrt3,3-Feb,1,0,1,1,0,0,0,0,0,0,0:44:37,0:16:28,0:12:43,0:25:49,0:28:55,0:34:52,0:38:58,0:42:12,0:45:14,0:45:09
077B,0,4/14/2024 14:01,37sqrt2,sqrt3,1/sqrt3,15,4:03,sqrt15/8,sqrt2:1,26,6,sqrt5:3,0,0,0,0,0,0,0,0,0,0,0:09:05,0:28:23,0:49:12,0:48:55,0:38:00,0:49:34,0:36:38,0:46:14,0:46:35,0:48:04
166B,2,4/14/2024 14:00,(840\sqrt2)/37,6-2\sqrt3,(2\sqrt7-\sqrt21)/4,,14-Nov,,Jan-98,,,,0,1,0,,1,,0,,,,0:19:08,0:18:29,0:32:15,,0:28:50,0:44:04,0:49:41,,,
043C,8,4/14/2024 14:03,47,6-2sqrt3,1/(2sqrt7),4sqrt3,14-Nov,2sqrt(34),25/98,pi/2-3sqrt3/4,,(6+2sqrt(3))/9,1,1,0,1,1,1,1,1,,1,0:01:51,0:06:11,0:06:18,0:11:19,0:17:31,0:21:46,0:27:50,0:31:29,0:49:28,0:47:28
197C,3,4/14/2024 14:00,47,6-2sqrt(3),sqrt(21)/21,5sqrt(3),14-Nov,3,sqrt(2)/10,,sqrt(61),6-Jan,1,1,0,0,1,0,0,,0,0,0:12:43,0:05:32,0:48:04,0:20:17,0:43:30,0:48:07,0:48:22,0:48:51,0:49:12,0:48:58
134B,0,4/14/2024 14:00,,,,,,,,,,,,,,,,,,,,,,0:29:12,,0:29:11,,,,,,
283B,7,4/14/2024 14:02,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,2sqrt34,25/98,,,,1,1,1,1,1,1,1,,,,0:00:39,0:02:11,0:04:00,0:06:54,0:10:45,0:13:07,0:18:26,0:47:08,,
322B,5,4/14/2024 14:00,47,6-2sqrt3,sqrt3/12,5sqrt3,14-Nov,2sqrt34,4-Jan,pi/2-3sqrt3/4,14,(4sqrt3+3)/9,1,1,0,0,1,1,0,1,0,0,0:01:50,0:03:51,0:06:08,0:13:38,0:19:08,0:25:18,0:31:55,0:37:14,0:47:25,0:48:33
114B,3,4/14/2024 14:00,71,6-2sqrt(3),sqrt(7)/14,61sqrt(3)/3,14-Nov,,4-Jan,(3sqrt(3)+2pi)/4,13,3,0,1,1,0,1,,0,0,0,0,0:09:02,0:10:20,0:24:53,0:49:38,0:16:58,,0:48:56,0:30:03,0:49:47,0:49:57
277C,3,4/14/2024 14:00,47,6-2sqrt3,,4sqrt3,5-Jul,,,,sqrt201,14-Dec,1,1,,1,0,,,,0,0,0:22:18,0:06:29,0:45:56,0:46:02,0:43:42,,,,0:47:38,0:49:32
107B,0,4/14/2024 14:01,35,sqrt(3),sqrt(2)/6,sqrt241/2-1/2,sqrt2/10,6,4:03,9sqrt3,6,(2sqrt2)/3,0,0,0,0,0,0,0,0,0,0,0:03:57,0:04:56,0:13:43,0:41:21,0:23:44,0:39:43,0:49:18,0:48:23,0:37:32,0:46:35
111B,4,4/14/2024 14:03,47,6+2sqrt3,sqrt7/14,4sqrt3,11:14,sqrt181/3,13sqrt6,5/6pi,7,24/7sqrt3,1,0,1,1,1,0,0,0,0,0,0:03:44,0:06:14,0:08:40,0:15:17,0:20:23,0:29:49,0:41:45,0:42:01,0:42:05,0:42:24
013D,2,4/14/2024 14:00,47,6-2√3,,,,,,,,,1,1,,,,,,,,,0:05:02,0:20:55,0:48:54,0:38:34,0:32:28,0:39:08,0:38:36,0:45:41,,
236B,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/73,pi/2,13,3sqrt3/8,1,1,1,1,1,1,0,0,0,0,0:49:47,0:03:34,0:05:31,0:09:52,0:18:57,0:22:47,0:27:10,0:31:11,0:49:11,0:48:54
005C,0,4/14/2024 14:02,23,3sqrt3,,5sqrt3,,,,,,,0,0,,0,,,,,,,0:03:31,0:15:49,0:15:50,0:35:40,,,,,,
138A,4,4/14/2024 14:01,47,4sqrt3,sqrt7 / 14,4sqrt3,,2sqrt34,1/sqrt2,,,,1,0,1,1,,1,0,,,,0:02:57,0:17:14,0:08:31,0:21:42,0:21:25,0:36:07,0:49:56,,,
179B,0,4/14/2024 14:00,1777,2sqrt3,sqrt3/2,(2sqrt(61)-sqrt(3))/2,1:01,12−  8/3 sqrt193 ​,(35sqrt1127)/1127  ​  ,4pi,5-sqrt3,1:06,0,0,0,0,0,0,0,0,0,0,0:49:26,0:28:37,0:47:12,0:45:34,0:20:34,0:47:58,0:48:55,0:39:51,0:46:02,0:31:08
006F,7,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/7,4sqrt(3),14-Nov,2sqrt(34),25/98,pi/2-(3sqrt(3))/4,sqrt(201),25/24,1,1,0,1,1,1,1,1,0,0,0:01:06,0:02:06,0:37:53,0:08:34,0:43:25,0:45:10,0:46:51,0:32:04,0:49:23,0:49:56
057C,1,4/14/2024 14:01,61,6-2sqrt3,sqrt(7/4-33/(16sqrt(5/2))),sqrt61,1,,,,,,0,1,0,0,0,,,,,,0:13:46,0:12:12,0:26:01,0:41:37,0:46:11,0:46:09,0:43:39,,,
283C,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5sqrt3,16-Nov,2sqrt34,25/98,,,,1,1,1,0,0,1,1,,,,0:01:14,0:03:22,0:06:27,0:13:09,0:25:09,0:30:14,0:40:03,0:42:33,,
037C,1,4/14/2024 14:00,47,4sqrt3,(sqrt7-sqrt3)/4,5sqrt3,1,,(51-35sqrt2)/151,3pi-(3sqrt3)/4,22/13,4-2sqrt3,1,0,0,0,0,,0,0,0,0,0:01:23,0:06:45,0:09:28,0:14:35,0:18:26,0:18:32,0:39:11,0:47:55,0:48:27,0:27:59
347C,3,4/14/2024 14:00,47,6-2sqrt3,sqrt(7)/7,4sqrt3,,,25/26,,,,1,1,0,1,,,0,,,,0:03:35,0:16:12,0:12:42,0:27:13,0:27:07,,0:49:44,,,
231C,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,2,(17sqrt2)/2,25/98,,,,1,1,1,1,0,0,1,,,,0:03:44,0:06:21,0:16:23,0:27:12,0:34:33,0:46:05,0:45:42,0:49:52,,
322C,1,4/14/2024 14:00,47,2sqrt3,(2sqrt7-sqrt14)/4,,,,,,,,1,0,0,,,,,,,,0:11:49,0:13:58,0:42:00,0:44:27,,,,,,
364A,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,4-May,2sqrt34,3-Feb,pi-sqrt3/2,122/5,3-Apr,1,1,1,1,0,1,0,0,0,0,0:01:49,0:33:42,0:09:29,0:19:09,0:49:44,0:30:37,0:49:57,0:49:23,0:49:32,0:49:38
022A,0,4/14/2024 14:00,48,6,,,,,,,,,0,0,,,,,,,,,0:06:40,0:48:36,,,,,,,,
091C,0,4/14/2024 14:01,48,sqrt3/96,2-Jan,1,2:03,10,2:01,2sqrt2,66,,0,0,0,0,0,0,0,0,0,,0:39:06,0:27:33,0:34:52,0:44:26,0:45:14,0:37:14,0:45:50,0:45:57,0:46:02,
043D,4,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,8,11:14,7,3:05,0.6,32,4:03,1,1,1,0,1,0,0,0,0,0,0:06:18,0:13:54,0:21:54,0:47:47,0:22:00,0:32:01,0:49:39,0:48:46,0:48:33,0:47:27
307C,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5sqrt3,14-Nov,2sqrt34,25/98,pi-3sqrt3/2,8,,1,1,1,0,1,1,1,0,0,,0:01:29,0:03:52,0:06:00,0:10:17,0:48:51,0:19:33,0:26:48,0:43:25,0:49:59,
153A,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,sqrt61,6-May,17,7,24sqrt3+22,11,sqrt3/3,1,1,1,0,0,0,0,0,0,0,0:06:10,0:10:36,0:16:44,0:49:02,0:48:54,0:49:09,0:49:18,0:49:26,0:49:31,0:48:38
314C,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,pi-(3sqrt3)/4,8sqrt3,,1,1,1,1,1,1,1,0,0,,0:01:46,0:03:21,0:04:40,0:07:58,0:20:29,0:26:54,0:27:03,0:45:42,0:46:38,
236C,7,4/14/2024 14:01,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),14-Nov,45sqrt(34)/7,25/98,pi/2-3sqrt(3)/4,,,1,1,1,1,1,0,1,1,,,0:02:18,0:06:19,0:06:28,0:13:33,0:18:40,0:24:16,0:29:34,0:41:55,,
228A,1,4/14/2024 14:00,47,3,\frac{3sqrt7}{7},\frac{1+sqrt241}{2},3-Apr,,,,,,1,0,0,0,0,,,,,,0:01:50,0:13:17,0:13:16,0:33:40,0:49:05,,,,,
060C,0,4/14/2024 14:00,12+37sqrt2/2,4sqrt(6(72-36sqrt(3)),,,,,,,,,0,0,,,,,,,,,0:05:23,0:22:39,,,,,0:21:12,,,
185C,1,4/14/2024 14:00,12+3sqrt157,6-2sqrt3,5/2-sqrt6+sqrt2,,5-Apr,16,4-Jan,,17,1,0,1,0,,0,0,0,,0,0,0:04:34,0:07:54,0:42:02,,0:26:27,0:38:11,0:44:08,0:46:45,0:45:12,0:46:32
316C,2,4/14/2024 14:00,47,2sqrt3-3,1/(2sqrt7),4sqrt3,30,8,27,pi-(3sqrt3)/4,21,1/sqrt3,1,0,0,1,0,0,0,0,0,0,0:02:14,0:04:58,0:17:30,0:48:48,0:49:10,0:49:16,0:49:27,0:27:38,0:49:40,0:49:56
225D,1,4/14/2024 14:00,47,2sqrt3,1/2 + sqrt3/2,2sqrt15,1,7,1.5,pi-4sqrt3/9,18,sqrt3/2,1,0,0,0,0,0,0,0,0,0,0:06:19,0:09:03,0:31:44,0:33:14,0:35:53,0:43:24,0:43:30,0:42:51,0:43:34,0:48:43
164D,4,4/14/2024 14:00,47,6-2sqrt3,(13sqrt7-sqrt399)/28,4sqrt3,,,25/98,,,,1,1,0,1,,,1,,,,0:03:05,0:05:08,0:13:12,0:22:39,,,0:44:04,,,
128A,0,4/14/2024 14:00,sqrt793,565,0.875,345,674,233,sqrt57,0.27,50,,0,0,0,0,0,0,0,0,0,,0:15:02,0:27:48,0:49:35,0:27:51,0:27:57,0:28:01,0:28:08,0:49:39,0:28:20,
151C,1,4/14/2024 14:00,47,10-7sqrt3/2,sqrt2/4,sqrt2,,,,,,,1,0,0,0,,,,,,,0:04:13,0:44:11,0:47:25,0:47:48,0:47:52,,,,,
168A,0,4/14/2024 14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
